arm,available,collisions,condition,cost,decisions,endpoint,exhausted,family_id,history_id,house,legacy_label,model,parent_family_id,path,planned,premature_stop,rank,ready_at_stop,seed,status,stopped,stratum,task_id
REPAIR,True,0,1,1.0,65,control,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0010,True,True,10,False,1211,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,1,0.084,42,control,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,PASS,ORIGINAL_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0011,True,False,11,True,1209,PASS,True,terminal_absent,task_T
ORIGINAL,True,0,2,1.0,119,main,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0012,True,True,12,False,1210,FAIL,True,terminal_absent,task_A
REPAIR,True,0,2,1.0,119,main,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0013,True,True,13,False,1210,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,2,1.0,123,main,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0014,True,True,14,False,1211,FAIL,True,terminal_absent,task_A
REPAIR,True,0,2,1.0,123,main,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0015,True,True,15,False,1211,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,2,0.092,46,main,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,PASS,ORIGINAL_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0016,True,False,16,True,1209,PASS,True,terminal_absent,task_A
REPAIR,True,0,2,0.092,46,main,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,PASS,REPAIR_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0017,True,False,17,True,1209,PASS,True,terminal_absent,task_A
REPAIR,True,0,3,0.124,62,control,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,PASS,REPAIR_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0018,True,False,18,True,1210,PASS,True,terminal_absent,task_T
ORIGINAL,True,0,3,1.0,65,control,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0019,True,True,19,False,1211,FAIL,True,terminal_absent,task_T
REPAIR,True,0,3,1.0,65,control,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0020,True,True,20,False,1211,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,3,0.084,42,control,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,PASS,ORIGINAL_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0021,True,False,21,True,1209,PASS,True,terminal_absent,task_T
REPAIR,True,0,3,0.084,42,control,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,PASS,REPAIR_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0022,True,False,22,True,1209,PASS,True,terminal_absent,task_T
ORIGINAL,True,0,3,0.124,62,control,False,ABSENT_11fc5516ee9f2eb6c439,seen_sham,2azQ1b91cZZ,PASS,ORIGINAL_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0023,True,False,23,True,1210,PASS,True,terminal_absent,task_T
ORIGINAL,True,0,4,1.0,500,main,True,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu4_001/rollouts/0024,True,False,24,False,1211,FAIL,False,terminal_absent,task_A
REPAIR,True,0,4,1.0,158,main,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu4_001/rollouts/0025,True,True,25,False,1211,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,4,1.0,46,main,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,ORIGINAL_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu4_001/rollouts/0026,True,True,26,False,1209,FAIL,True,terminal_absent,task_A
REPAIR,True,0,4,1.0,46,main,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,REPAIR_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu4_001/rollouts/0027,True,True,27,False,1209,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,4,1.0,123,main,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu4_001/rollouts/0028,True,True,28,False,1210,FAIL,True,terminal_absent,task_A
REPAIR,True,0,4,1.0,123,main,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu4_001/rollouts/0029,True,True,29,False,1210,FAIL,True,terminal_absent,task_A
REPAIR,True,0,5,1.0,86,control,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu5_001/rollouts/0030,True,True,30,False,1211,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,5,0.112,56,control,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,PASS,ORIGINAL_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu5_001/rollouts/0031,True,False,31,True,1209,PASS,True,terminal_absent,task_T
REPAIR,True,0,5,0.112,56,control,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,PASS,REPAIR_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu5_001/rollouts/0032,True,False,32,True,1209,PASS,True,terminal_absent,task_T
ORIGINAL,True,0,5,1.0,71,control,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu5_001/rollouts/0033,True,True,33,False,1210,FAIL,True,terminal_absent,task_T
REPAIR,True,0,5,1.0,71,control,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu5_001/rollouts/0034,True,True,34,False,1210,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,5,1.0,86,control,False,ABSENT_11fc5516ee9f2eb6c439,missing,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu5_001/rollouts/0035,True,True,35,False,1211,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,6,1.0,46,main,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu6_001/rollouts/0036,True,True,36,False,1209,FAIL,True,terminal_absent,task_A
REPAIR,True,0,6,1.0,46,main,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,REPAIR_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu6_001/rollouts/0037,True,True,37,False,1209,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,6,1.0,123,main,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu6_001/rollouts/0038,True,True,38,False,1210,FAIL,True,terminal_absent,task_A
REPAIR,True,0,6,1.0,123,main,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu6_001/rollouts/0039,True,True,39,False,1210,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,6,1.0,500,main,True,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu6_001/rollouts/0040,True,False,40,False,1211,FAIL,False,terminal_absent,task_A
REPAIR,True,0,6,1.0,158,main,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu6_001/rollouts/0041,True,True,41,False,1211,FAIL,True,terminal_absent,task_A
REPAIR,True,0,7,0.112,56,control,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,PASS,REPAIR_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu7_001/rollouts/0042,True,False,42,True,1209,PASS,True,terminal_absent,task_T
ORIGINAL,True,0,7,1.0,73,control,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu7_001/rollouts/0043,True,True,43,False,1210,FAIL,True,terminal_absent,task_T
REPAIR,True,0,7,1.0,71,control,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu7_001/rollouts/0044,True,True,44,False,1210,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,7,1.0,86,control,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu7_001/rollouts/0045,True,True,45,False,1211,FAIL,True,terminal_absent,task_T
REPAIR,True,0,7,1.0,86,control,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu7_001/rollouts/0046,True,True,46,False,1211,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,7,0.112,56,control,False,ABSENT_11fc5516ee9f2eb6c439,missing_sham,2azQ1b91cZZ,PASS,ORIGINAL_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu7_001/rollouts/0047,True,False,47,True,1209,PASS,True,terminal_absent,task_T
ORIGINAL,True,0,8,1.0,107,main,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0048,True,True,48,False,1210,FAIL,True,terminal_absent,task_A
REPAIR,True,0,8,1.0,500,main,True,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0049,True,False,49,False,1210,FAIL,False,terminal_absent,task_A
ORIGINAL,True,0,8,1.0,103,main,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0050,True,True,50,False,1211,FAIL,True,terminal_absent,task_A
REPAIR,True,0,8,1.0,87,main,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0051,True,True,51,False,1211,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,8,1.0,99,main,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1209,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0052,True,True,52,False,1209,FAIL,True,terminal_absent,task_A
REPAIR,True,0,8,1.0,172,main,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,REPAIR_1209,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0053,True,True,53,False,1209,FAIL,True,terminal_absent,task_A
REPAIR,True,0,9,1.0,58,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0054,True,True,54,False,1210,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,9,1.0,83,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0055,True,True,55,False,1211,FAIL,True,terminal_absent,task_T
REPAIR,True,0,9,1.0,75,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0056,True,True,56,False,1211,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,9,1.0,55,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1209,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0057,True,True,57,False,1209,FAIL,True,terminal_absent,task_T
REPAIR,True,0,9,1.0,55,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,REPAIR_1209,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0058,True,True,58,False,1209,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,9,1.0,58,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0059,True,True,59,False,1210,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,10,1.0,500,main,True,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0060,True,False,60,False,1211,FAIL,False,terminal_absent,task_A
REPAIR,True,0,10,1.0,107,main,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0061,True,True,61,False,1211,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,10,1.0,103,main,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1209,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0062,True,True,62,False,1209,FAIL,True,terminal_absent,task_A
REPAIR,True,0,10,1.0,382,main,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,REPAIR_1209,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0063,True,True,63,False,1209,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,10,1.0,127,main,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0064,True,True,64,False,1210,FAIL,True,terminal_absent,task_A
REPAIR,True,0,10,1.0,500,main,True,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu2_001/rollouts/0065,True,False,65,False,1210,FAIL,False,terminal_absent,task_A
REPAIR,True,0,11,1.0,75,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0066,True,True,66,False,1211,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,11,1.0,55,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1209,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0067,True,True,67,False,1209,FAIL,True,terminal_absent,task_T
REPAIR,True,0,11,1.0,55,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,REPAIR_1209,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0068,True,True,68,False,1209,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,11,1.0,58,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0069,True,True,69,False,1210,FAIL,True,terminal_absent,task_T
REPAIR,True,0,11,1.0,58,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0070,True,True,70,False,1210,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,11,1.0,83,control,False,ABSENT_4e1e82ec5a151a5a7d51,seen_sham,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_05ff984a3ba9d356dd39,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu3_001/rollouts/0071,True,True,71,False,1211,FAIL,True,terminal_absent,task_T
