condition,seed,parent,history,stratum,first_decision,first_offset,original_action,event_action,truth,original_state,event_state,core_margin_delta,state_margin_delta,state_only_restore,core_only_restore,cpu_status,event_final
64,1211,IDENT_03004b31b37017519a2b,seen,terminal_present,23,3,turn_left,move_forward,"[1, 1, 1, 1]","[0.6020435094833374, 0.6024925112724304, 0.7461740374565125, 0.44922924041748047]","[0.8438459634780884, 0.843866765499115, 0.9888448119163513, 0.8344327211380005]",0.0005116585190474421,-0.16693629059149612,True,False,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
66,1209,IDENT_03004b31b37017519a2b,seen_sham,terminal_present,20,0,STOP,turn_right,"[1, 1, 1, 1]","[0.7496419548988342, 0.7496575117111206, 0.9767424464225769, 0.7322071194648743]","[0.8398739695549011, 0.8398783802986145, 0.9932515025138855, 0.8342061042785645]",-1.18050291746866,0.16124942511331353,False,True,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
66,1210,IDENT_03004b31b37017519a2b,seen_sham,terminal_present,24,4,turn_right,move_forward,"[1, 1, 0, 0]","[0.6706885099411011, 0.6707260012626648, 0.014686677604913712, 0.009850186295807362]","[0.7693442702293396, 0.7693560719490051, 0.03086037002503872, 0.023742249235510826]",-1.1329913530137832,0.016126314142018094,False,True,UNAVAILABLE_CAUSAL_FEATURES,BUDGET_EXHAUSTED
66,1211,IDENT_03004b31b37017519a2b,seen_sham,terminal_present,24,4,turn_left,move_forward,"[1, 1, 1, 1]","[0.5305169820785522, 0.5332543253898621, 0.3006401062011719, 0.15949468314647675]","[0.8022411465644836, 0.8040336966514587, 0.6971537470817566, 0.5592854022979736]",-0.6317848785201853,-0.20935622617799576,False,True,UNAVAILABLE_CAUSAL_FEATURES,BUDGET_EXHAUSTED
72,1211,IDENT_05ff984a3ba9d356dd39,seen,terminal_present,64,20,STOP,turn_left,"[1, 1, 1, 1]","[0.7538437247276306, 0.7538549900054932, 0.9966503977775574, 0.751318633556366]","[0.5487053394317627, 0.5487149953842163, 0.9981305003166199, 0.5476795434951782]",-1.0194220524436868,-0.3890051860206687,False,False,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
74,1211,IDENT_05ff984a3ba9d356dd39,seen_sham,terminal_present,80,36,STOP,turn_left,"[1, 1, 1, 1]","[0.48369520902633667, 0.48371878266334534, 0.9966503977775574, 0.482075035572052]","[0.24596719443798065, 0.24598328769207, 0.9981305003166199, 0.2455073595046997]",-1.209007216259643,-0.49287562294323783,False,False,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
80,1211,IDENT_134e9da2f2ef076529c8,seen,terminal_present,28,0,STOP,turn_right,"[1, 1, 1, 1]","[1.0, 1.0, 0.9971056580543518, 0.9971056580543518]","[1.0, 1.0, 0.9978594183921814, 0.9978594183921814]",-1.5271208599043642,0.05965069083698138,False,True,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
82,1211,IDENT_134e9da2f2ef076529c8,seen_sham,terminal_present,28,0,STOP,turn_right,"[1, 1, 1, 1]","[0.9999998211860657, 0.9999998211860657, 0.9971056580543518, 0.9971054792404175]","[1.0, 1.0, 0.9978594183921814, 0.9978594183921814]",-1.5770361332013225,0.059650888831815796,False,True,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
90,1211,IDENT_91e9fe731b20c42b5b4e,seen_sham,terminal_present,118,74,STOP,turn_left,"[1, 1, 1, 1]","[0.41781091690063477, 0.41781845688819885, 0.9128300547599792, 0.38139036297798157]","[0.33030587434768677, 0.33031320571899414, 0.9919577836990356, 0.32764947414398193]",-1.5303912432055902,-0.16836181570477993,False,False,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
104,1209,IDENT_b5282c87ae6ba1f6f5a4,seen,terminal_present,20,0,STOP,turn_right,"[1, 1, 1, 1]","[1.0, 1.0, 0.9848820567131042, 0.9848820567131042]","[1.0, 1.0, 0.999431312084198, 0.999431312084198]",-1.4293853660763114,0.07454794847377233,False,True,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
104,1211,IDENT_b5282c87ae6ba1f6f5a4,seen,terminal_present,20,0,STOP,turn_right,"[1, 1, 1, 1]","[1.0, 1.0, 0.9939099550247192, 0.9939099550247192]","[1.0, 1.0, 0.9992400407791138, 0.9992400407791138]",-2.043120399686358,0.06413079855110393,False,True,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
106,1209,IDENT_b5282c87ae6ba1f6f5a4,seen_sham,terminal_present,20,0,STOP,turn_right,"[1, 1, 1, 1]","[1.0, 1.0, 0.9848820567131042, 0.9848820567131042]","[1.0, 1.0, 0.999431312084198, 0.999431312084198]",-1.4266397377193778,0.07454794847377233,False,True,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
106,1211,IDENT_b5282c87ae6ba1f6f5a4,seen_sham,terminal_present,20,0,STOP,turn_right,"[1, 1, 1, 1]","[0.9999999403953552, 0.9999999403953552, 0.9939099550247192, 0.9939098954200745]","[1.0, 1.0, 0.9992400407791138, 0.9992400407791138]",-2.045640907693608,0.0641308645493821,False,True,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
