rank,condition,family_id,house,history_id,task_id,model,session,label,total_decisions,autonomous_decisions,collisions,stopped,repeated_decisions,budget_exhausted,reached_ready,ready_at_stop,stopped_without_terminal,stopped_without_prior_anchor,reached_ready_but_no_valid_stop,stop_native_margin
63,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,L3_B1_1210,continuation_run_004,unknown,500,382,331,False,313,True,True,False,False,False,True,
64,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,L3_B2_1210,continuation_run_004,fail,158,40,0,True,0,False,True,False,True,False,True,0.907985270023346
65,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,L3_Ours_1210,continuation_run_004,unknown,163,45,1,True,0,False,True,False,True,False,True,0.5307703018188477
66,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,L3_B1_1211,continuation_run_004,fail,193,75,0,True,0,False,True,False,True,False,True,0.3100060671567917
67,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,L3_B2_1211,continuation_run_004,unknown,500,382,344,False,336,True,True,False,False,False,True,
68,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,L3_Ours_1211,continuation_run_004,fail,500,382,0,False,281,True,True,False,False,False,True,
69,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,S1_B1_1209,continuation_run_004,fail,145,27,0,True,0,False,True,False,True,False,True,0.500761479139328
70,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,S1_B2_1209,continuation_run_004,fail,500,382,0,False,255,True,True,False,False,False,True,
71,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,S1_Ours_1209,continuation_run_004,unknown,500,382,374,False,370,True,True,False,False,False,True,
72,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,S1_B2_1210,continuation_run_004,unknown,500,382,8,False,251,True,True,False,False,False,True,
73,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,S1_Ours_1210,continuation_run_004,unknown,500,382,233,False,261,True,True,False,False,False,True,
74,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,S1_B1_1211,continuation_run_004,unknown,500,382,314,False,285,True,True,False,False,False,True,
75,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,S1_B2_1211,continuation_run_004,fail,500,382,0,False,248,True,True,False,False,False,True,
76,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,S1_Ours_1211,continuation_run_004,fail,166,48,0,True,0,False,True,False,True,False,True,0.17490078508853912
77,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,L3_B1_1209,continuation_run_004,fail,164,46,0,True,0,False,True,False,True,False,True,0.11163514852523804
78,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,L3_B2_1209,continuation_run_004,fail,203,85,0,True,0,False,True,False,True,False,True,0.5364357829093933
79,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,L3_Ours_1209,continuation_run_004,unknown,500,382,51,False,204,True,True,False,False,False,True,
80,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,L3_B1_1210,continuation_run_004,fail,156,38,0,True,0,False,True,False,True,False,True,0.5323269367218018
81,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,L3_B2_1210,continuation_run_004,fail,156,38,0,True,0,False,True,False,True,False,True,0.5323269367218018
82,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,L3_Ours_1210,continuation_run_004,fail,156,38,0,True,0,False,True,False,True,False,True,0.5323269367218018
83,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,L3_B1_1211,continuation_run_004,fail,166,48,0,True,0,False,True,False,True,False,True,0.20957118272781372
84,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,L3_B2_1211,continuation_run_004,fail,164,46,0,True,0,False,True,False,True,False,True,0.08766838908195496
85,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,L3_Ours_1211,continuation_run_004,unknown,500,382,104,False,243,True,True,False,False,False,True,
86,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,S1_B1_1209,continuation_run_004,fail,477,359,0,True,262,False,True,False,True,False,True,1.059259757399559
87,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,S1_B2_1209,continuation_run_004,fail,500,382,0,False,243,True,True,False,False,False,True,
88,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,S1_Ours_1209,continuation_run_004,unknown,500,382,334,False,317,True,True,False,False,False,True,
89,4,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_A,S1_B1_1210,continuation_run_004,fail,500,382,0,False,298,True,True,False,False,False,True,
90,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,S1_Ours_1210,continuation_run_004,fail,174,56,0,True,0,False,False,False,True,True,False,0.028853103518486023
91,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,S1_B1_1211,continuation_run_004,unknown,500,382,20,False,280,True,False,False,False,False,False,
92,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,S1_B2_1211,continuation_run_004,unknown,500,382,374,False,370,True,False,False,False,False,False,
93,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,S1_Ours_1211,continuation_run_004,fail,171,53,0,True,0,False,False,False,True,True,False,0.3581762760877609
94,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,L3_B1_1209,continuation_run_004,fail,164,46,0,True,0,False,False,False,True,True,False,0.3057144284248352
95,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,L3_B2_1209,continuation_run_004,unknown,500,382,374,False,370,True,False,False,False,False,False,
96,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,L3_Ours_1209,continuation_run_004,fail,174,56,0,True,0,False,False,False,True,True,False,-1.187985897064209
97,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,L3_B1_1210,continuation_run_004,unknown,500,382,271,False,260,True,False,False,False,False,False,
98,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,L3_B2_1210,continuation_run_004,unknown,500,382,3,False,238,True,False,False,False,False,False,
99,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,L3_Ours_1210,continuation_run_004,fail,171,53,0,True,0,False,False,False,True,True,False,0.5178327448666096
100,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,L3_B1_1211,continuation_run_004,fail,167,49,0,True,0,False,False,False,True,True,False,0.3476448953151703
101,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,L3_B2_1211,continuation_run_004,fail,164,46,0,True,0,False,False,False,True,True,False,0.02547958493232727
102,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,L3_Ours_1211,continuation_run_004,fail,185,67,0,True,0,False,False,False,True,True,False,0.44566337764263153
103,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,S1_B1_1209,continuation_run_004,fail,160,42,0,True,0,False,False,False,True,True,False,0.2139720916748047
104,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,S1_B2_1209,continuation_run_004,unknown,500,382,374,False,370,True,False,False,False,False,False,
105,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,S1_Ours_1209,continuation_run_004,unknown,205,87,2,True,0,False,False,False,True,True,False,0.3428388833999634
106,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,S1_B1_1210,continuation_run_004,fail,156,38,0,True,0,False,False,False,True,True,False,0.21233445405960083
107,5,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_A,task_B,S1_B2_1210,continuation_run_004,unknown,500,382,374,False,370,True,False,False,False,False,False,
108,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,S1_B1_1211,continuation_run_004,fail,159,41,0,True,0,False,False,False,True,True,False,0.2652571201324463
109,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,S1_B2_1211,continuation_run_004,fail,500,382,0,False,227,True,False,False,False,False,False,
110,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,S1_Ours_1211,continuation_run_004,fail,166,48,0,True,0,False,False,False,True,True,False,0.17490078508853912
111,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,L3_B1_1209,continuation_run_004,fail,174,56,0,True,0,False,False,False,True,True,False,1.118864893913269
112,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,L3_B2_1209,continuation_run_004,unknown,500,382,168,False,162,True,False,False,False,False,False,
113,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,L3_Ours_1209,continuation_run_004,unknown,500,382,278,False,275,True,False,False,False,False,False,
114,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,L3_B1_1210,continuation_run_004,fail,156,38,0,True,0,False,False,False,True,True,False,0.5323269367218018
115,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,L3_B2_1210,continuation_run_004,unknown,169,51,2,True,0,False,False,False,True,True,False,0.241448774933815
116,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,L3_Ours_1210,continuation_run_004,fail,156,38,0,True,0,False,False,False,True,True,False,0.5323269367218018
117,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,L3_B1_1211,continuation_run_004,fail,500,382,0,False,274,True,False,False,False,False,False,
118,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,L3_B2_1211,continuation_run_004,fail,164,46,0,True,0,False,False,False,True,True,False,0.08766838908195496
119,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,L3_Ours_1211,continuation_run_004,fail,170,52,0,True,0,False,False,False,True,True,False,0.03517109155654907
120,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,S1_B1_1209,continuation_run_004,fail,500,382,0,False,286,True,False,False,False,False,False,
121,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,S1_B2_1209,continuation_run_004,fail,152,34,0,True,0,False,False,False,False,True,False,0.09353575855493546
122,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,S1_Ours_1209,continuation_run_004,fail,166,48,0,True,0,False,False,False,True,True,False,0.17490078508853912
123,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,S1_B1_1210,continuation_run_004,unknown,226,108,4,True,0,False,False,False,True,True,False,0.02719414234161377
124,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,S1_B2_1210,continuation_run_004,unknown,500,382,8,False,251,True,False,False,False,False,False,
125,6,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_A,S1_Ours_1210,continuation_run_004,unknown,500,382,222,False,261,True,False,False,False,False,False,
126,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,S1_B2_1211,continuation_run_004,fail,185,67,0,True,0,False,True,False,True,False,True,0.7742912769317627
127,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,S1_Ours_1211,continuation_run_004,fail,171,53,0,True,0,False,True,False,True,False,True,0.3581762760877609
128,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,L3_B1_1209,continuation_run_004,unknown,199,81,19,True,11,False,True,False,True,False,True,0.08054783940315247
129,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,L3_B2_1209,continuation_run_004,unknown,500,382,374,False,370,True,True,False,False,False,True,
130,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,L3_Ours_1209,continuation_run_004,fail,169,51,0,True,0,False,True,False,True,False,True,0.4142545610666275
131,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,L3_B1_1210,continuation_run_004,unknown,500,382,271,False,260,True,True,False,False,False,True,
132,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,L3_B2_1210,continuation_run_004,fail,169,51,0,True,0,False,True,False,True,False,True,0.16137820482254028
133,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,L3_Ours_1210,continuation_run_004,fail,171,53,0,True,0,False,True,False,True,False,True,0.5178327448666096
134,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,L3_B1_1211,continuation_run_004,fail,170,52,0,True,0,False,True,False,True,False,True,0.814232662320137
135,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,L3_B2_1211,continuation_run_004,fail,164,46,0,True,0,False,True,False,True,False,True,0.02547958493232727
136,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,L3_Ours_1211,continuation_run_004,unknown,500,382,317,False,299,True,True,False,False,False,True,
137,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,S1_B1_1209,continuation_run_004,unknown,500,382,89,False,260,True,True,False,False,False,True,
138,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,S1_B2_1209,continuation_run_004,fail,500,382,0,False,310,True,True,False,False,False,True,
139,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,S1_Ours_1209,continuation_run_004,unknown,205,87,2,True,0,False,True,False,True,False,True,0.3428388833999634
140,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,S1_B1_1210,continuation_run_004,unknown,500,382,328,False,320,True,True,False,False,False,True,
141,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,S1_B2_1210,continuation_run_004,unknown,500,382,6,False,272,True,True,False,False,False,True,
142,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,S1_Ours_1210,continuation_run_004,unknown,500,382,334,False,324,True,True,False,False,False,True,
143,7,V15_NEW_068de151fa7683275c29,wc2JMjhGNzB,H_B,task_B,S1_B1_1211,continuation_run_004,unknown,500,382,16,False,280,True,True,False,False,False,True,
144,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,S1_Ours_1211,continuation_run_004,unknown,500,394,248,False,329,True,False,False,False,False,False,
145,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,L3_B1_1209,continuation_run_004,fail,148,42,0,True,0,False,False,False,True,False,False,1.0808945298194885
146,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,L3_B2_1209,continuation_run_004,unknown,500,394,325,False,345,True,False,False,False,False,False,
147,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,L3_Ours_1209,continuation_run_004,fail,143,37,0,True,0,False,False,False,True,False,False,0.2876766473054886
148,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,L3_B1_1210,continuation_run_004,fail,148,42,0,True,0,False,False,False,True,False,False,0.25208739191293716
149,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,L3_B2_1210,continuation_run_004,fail,500,394,0,False,261,True,False,False,False,False,False,
150,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,L3_Ours_1210,continuation_run_004,unknown,500,394,168,False,306,True,False,False,False,False,False,
151,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,L3_B1_1211,continuation_run_004,fail,500,394,0,False,296,True,False,False,False,False,False,
